No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
1,20.0001,1184.791,1186.762,1184.791,30.25, ,5.1512,,-1.971
2,20.0041,1137.334,1186.707,1184.736,30.25, ,5.1502,,-49.373
3,20.0081,1177.289,1186.652,1184.681,30.25, ,5.1492,,-9.363
4,20.0121,1321.09,1186.596,1184.625,30.25, ,5.1482,,134.494
5,20.0161,1230.208,1186.541,1184.57,30.25, ,5.1472,,43.667
6,20.0201,1211.38,1186.486,1184.514,30.25, ,5.1461,,24.894
7,20.0241,1225.868,1186.431,1184.459,30.25, ,5.1451,,39.437
8,20.0281,1284.984,1186.375,1184.403,30.25, ,5.1441,,98.609
9,20.0321,1250.267,1186.32,1184.348,30.25, ,5.1431,,63.947
10,20.0361,1218.127,1186.265,1184.292,30.25, ,5.1421,,31.862
11,20.0401,1215.636,1186.209,1184.237,30.25, ,5.141,,29.427
12,20.0441,1233.798,1186.154,1184.181,30.25, ,5.14,,47.644
13,20.0481,1203.752,1186.099,1184.126,30.25, ,5.139,,17.653
14,20.0521,1163.496,1186.043,1184.071,30.25, ,5.138,,-22.547
15,20.0561,1182.265,1185.988,1184.015,30.25, ,5.137,,-3.723
16,20.0601,1220.504,1185.933,1183.96,30.25, ,5.136,,34.571
17,20.0641,1256.653,1185.877,1183.904,30.25, ,5.135,,70.776
18,20.0681,1230.465,1185.822,1183.849,30.25, ,5.1339,,44.643
19,20.0721,1241.172,1185.767,1183.793,30.25, ,5.1329,,55.405
20,20.0761,1230.269,1185.711,1183.738,30.25, ,5.1319,,44.558
21,20.0801,1224.747,1185.656,1183.682,30.25, ,5.1309,,39.091
22,20.0841,1197.176,1185.601,1183.627,30.25, ,5.1299,,11.575
23,20.0881,1189.658,1185.545,1183.572,30.25, ,5.1289,,4.113
24,20.0921,1255.451,1185.49,1183.516,30.25, ,5.1279,,69.961
25,20.0961,1265.983,1185.435,1183.461,30.25, ,5.1269,,80.548
26,20.1001,1203.877,1185.379,1183.405,30.25, ,5.1259,,18.498
27,20.1041,1222.544,1185.324,1183.35,30.25, ,5.1249,,37.22
28,20.1081,1234.574,1185.269,1183.294,30.25, ,5.1238,,49.305
29,20.1121,1263.937,1185.214,1183.239,30.25, ,5.1228,,78.723
30,20.1161,1264.328,1185.158,1183.183,30.25, ,5.1218,,79.17
31,20.1201,1202.36,1185.103,1183.128,30.25, ,5.1208,,17.257
32,20.1241,1220.358,1185.047,1183.072,30.25, ,5.1198,,35.311
33,20.1281,1227.089,1184.992,1183.017,30.25, ,5.1188,,42.097
34,20.1321,1220.845,1184.937,1182.962,30.25, ,5.1178,,35.908
35,20.1361,1186.27,1184.881,1182.906,30.25, ,5.1168,,1.389
36,20.1401,1182.177,1184.826,1182.851,30.25, ,5.1158,,-2.649
37,20.1441,1231.062,1184.771,1182.795,30.25, ,5.1148,,46.291
38,20.1481,1269.702,1184.716,1182.74,30.25, ,5.1138,,84.986
39,20.1521,1274.692,1184.66,1182.684,30.25, ,5.1128,,90.032
40,20.1561,1224.189,1184.605,1182.629,30.25, ,5.1118,,39.584
41,20.1601,1209.488,1184.55,1182.573,30.25, ,5.1108,,24.938
42,20.1641,1291.552,1184.494,1182.518,30.25, ,5.1098,,107.058
