Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],Error [cts]
20.5201,1151.788,1129.365,1129.341,22.423
20.5241,1153.006,1129.3,1129.276,23.706
20.5281,1164.926,1129.235,1129.211,35.691
20.5321,1112.246,1129.17,1129.146,-16.924
20.5361,1131.32,1129.105,1129.081,2.215
20.5401,1175.381,1129.04,1129.016,46.341
20.5441,1189.793,1128.975,1128.951,60.818
20.5481,1122.54,1128.91,1128.886,-6.37
20.5521,1142.565,1128.845,1128.821,13.72
20.5561,1205.048,1128.78,1128.756,76.268
20.5601,1107.696,1128.715,1128.691,-21.019
20.5641,1177.588,1128.65,1128.626,48.938
20.5681,1152.385,1128.585,1128.56,23.8
20.5721,1190.864,1128.52,1128.495,62.344
20.5761,1110.717,1128.455,1128.43,-17.738
20.5801,1098.19,1128.39,1128.365,-30.2
20.5841,1103.975,1128.325,1128.3,-24.35
20.5881,1130.724,1128.26,1128.235,2.464
20.5921,1125.177,1128.195,1128.17,-3.018
20.5961,1157.515,1128.13,1128.105,29.385
20.6001,1130.789,1128.065,1128.04,2.724
20.6041,1116.73,1128,1127.975,-11.27
20.6081,1130.787,1127.935,1127.91,2.852
20.6121,1172.225,1127.87,1127.845,44.355
20.6161,1178.922,1127.805,1127.78,51.117
20.6201,1137.003,1127.74,1127.715,9.263
20.6241,1137.317,1127.675,1127.65,9.642
20.6281,1149.904,1127.61,1127.585,22.294
20.6321,1182.435,1127.545,1127.519,54.89
20.6361,1179.854,1127.48,1127.454,52.374
20.6401,1132.377,1127.415,1127.389,4.962
20.6441,1145.178,1127.35,1127.324,17.828
20.6481,1119.353,1127.285,1127.259,-7.932
20.6521,1149.951,1127.22,1127.194,22.731
20.6561,1131.581,1127.155,1127.129,4.426
20.6601,1175.623,1127.09,1127.064,48.533
20.6641,1188.42,1127.025,1126.999,61.395
20.6681,1141.024,1126.96,1126.934,14.064
20.6721,1141.474,1126.896,1126.869,14.578
20.6761,1154.496,1126.831,1126.804,27.665
20.6801,1154.142,1126.766,1126.739,27.376
20.6841,1153.395,1126.701,1126.674,26.694
20.6881,1174.582,1126.636,1126.609,47.946
20.6921,1188.12,1126.571,1126.543,61.549
20.6961,1146.05,1126.506,1126.478,19.544
20.7001,1149.955,1126.441,1126.413,23.514
20.7041,1192.425,1126.376,1126.348,66.049
20.7081,1174.551,1126.311,1126.283,48.24
20.7121,1136.349,1126.246,1126.218,10.103
20.7161,1151.837,1126.181,1126.153,25.656
20.7201,1170.715,1126.116,1126.088,44.599
20.7241,1130.357,1126.051,1126.023,4.306
20.7281,1107.838,1125.986,1125.958,-18.148
20.7321,1192.164,1125.921,1125.893,66.243
20.7361,1195.584,1125.856,1125.828,69.728
20.7401,1156.663,1125.791,1125.763,30.872
20.7441,1127.76,1125.726,1125.698,2.034
20.7481,1162.038,1125.661,1125.633,36.377
20.7521,1158.208,1125.596,1125.568,32.612
20.7561,1139.083,1125.531,1125.502,13.552
20.7601,1083.809,1125.466,1125.437,-41.657
20.7641,1122.719,1125.401,1125.372,-2.682
20.7681,1181.375,1125.337,1125.307,56.038
20.7721,1120.976,1125.272,1125.242,-4.296
20.7761,1122.995,1125.207,1125.177,-2.212
20.7801,1126.879,1125.142,1125.112,1.737
20.7841,1142.64,1125.077,1125.047,17.563
20.7881,1138.276,1125.012,1124.982,13.264
20.7921,1133.115,1124.947,1124.917,8.168
20.7961,1168.006,1124.882,1124.852,43.124
