No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
83,20.3281,1184.354,1226.654,1226.521,30.25, ,5.069,,-42.3
84,20.3321,1224.352,1226.59,1226.457,30.25, ,5.068,,-2.238
85,20.3361,1211.516,1226.526,1226.393,30.25, ,5.067,,-15.01
86,20.3401,1182.607,1226.462,1226.328,30.25, ,5.066,,-43.855
87,20.3441,1169.372,1226.399,1226.264,30.25, ,5.065,,-57.027
88,20.3481,1189.066,1226.335,1226.2,30.25, ,5.064,,-37.269
89,20.3521,1280.473,1226.271,1226.136,30.25, ,5.063,,54.202
90,20.3561,1282.288,1226.207,1226.072,30.25, ,5.0621,,56.081
91,20.3601,1234.327,1226.143,1226.008,30.25, ,5.0611,,8.184
92,20.3641,1239.356,1226.08,1225.943,30.25, ,5.0601,,13.276
93,20.3681,1246.709,1226.016,1225.879,30.25, ,5.0591,,20.693
94,20.3721,1238.943,1225.952,1225.815,30.25, ,5.0581,,12.991
95,20.3761,1199.688,1225.888,1225.751,30.25, ,5.0571,,-26.2
96,20.3801,1269.087,1225.825,1225.687,30.25, ,5.0562,,43.262
97,20.3841,1246.053,1225.761,1225.622,30.25, ,5.0552,,20.292
98,20.3881,1224.173,1225.697,1225.558,30.25, ,5.0542,,-1.524
99,20.3921,1202.973,1225.633,1225.494,30.25, ,5.0532,,-22.66
100,20.3961,1236.397,1225.57,1225.43,30.25, ,5.0522,,10.827
101,20.4001,1203.332,1225.506,1225.366,30.25, ,5.0513,,-22.174
102,20.4041,1206.442,1225.442,1225.302,30.25, ,5.0503,,-19
103,20.4081,1232.754,1225.378,1225.237,30.25, ,5.0493,,7.376
104,20.4121,1193.922,1225.314,1225.173,30.25, ,5.0483,,-31.392
105,20.4161,1199.363,1225.251,1225.109,30.25, ,5.0473,,-25.888
106,20.4201,1249.512,1225.187,1225.045,30.25, ,5.0464,,24.325
107,20.4241,1250.655,1225.123,1224.981,30.25, ,5.0454,,25.532
108,20.4281,1238.674,1225.059,1224.917,30.25, ,5.0444,,13.615
109,20.4321,1250.83,1224.996,1224.852,30.25, ,5.0434,,25.834
110,20.4361,1231.922,1224.932,1224.788,30.25, ,5.0425,,6.99
111,20.4401,1234.058,1224.868,1224.724,30.25, ,5.0415,,9.19
112,20.4441,1289.249,1224.805,1224.66,30.25, ,5.0405,,64.444
113,20.4481,1212.575,1224.741,1224.596,30.25, ,5.0395,,-12.166
114,20.4521,1236.548,1224.677,1224.532,30.25, ,5.0386,,11.871
115,20.4561,1235.133,1224.613,1224.467,30.25, ,5.0376,,10.52
116,20.4601,1287.215,1224.55,1224.403,30.25, ,5.0366,,62.665
117,20.4641,1247.892,1224.486,1224.339,30.25, ,5.0356,,23.406
118,20.4681,1213.721,1224.422,1224.275,30.25, ,5.0347,,-10.701
119,20.4721,1237.657,1224.358,1224.211,30.25, ,5.0337,,13.299
120,20.4761,1196.508,1224.295,1224.146,30.25, ,5.0327,,-27.787
121,20.4801,1280.793,1224.231,1224.082,30.25, ,5.0317,,56.562
122,20.4841,1263.441,1224.167,1224.018,30.25, ,5.0308,,39.274
123,20.4881,1218.04,1224.104,1223.954,30.25, ,5.0298,,-6.064
124,20.4921,1179.138,1224.04,1223.89,30.25, ,5.0288,,-44.902
125,20.4961,1221.665,1223.976,1223.826,30.25, ,5.0279,,-2.311
126,20.5001,1233.378,1223.912,1223.761,30.25, ,5.0269,,9.466
127,20.5041,1221.008,1223.849,1223.697,30.25, ,5.0259,,-2.841
128,20.5081,1239.804,1223.785,1223.633,30.25, ,5.0249,,16.019
129,20.5121,1224.296,1223.721,1223.569,30.25, ,5.024,,0.575
130,20.5161,1209.865,1223.657,1223.505,30.25, ,5.023,,-13.792
131,20.5201,1225.881,1223.594,1223.441,30.25, ,5.022,,2.287
132,20.5241,1228.666,1223.53,1223.376,30.25, ,5.0211,,5.136
133,20.5281,1218.164,1223.466,1223.312,30.25, ,5.0201,,-5.302
134,20.5321,1215.674,1223.403,1223.248,30.25, ,5.0191,,-7.729
135,20.5361,1244.178,1223.339,1223.184,30.25, ,5.0182,,20.839
136,20.5401,1267.28,1223.275,1223.12,30.25, ,5.0172,,44.005
137,20.5441,1234.965,1223.212,1223.056,30.25, ,5.0162,,11.753
138,20.5481,1251.738,1223.148,1222.991,30.25, ,5.0153,,28.59
139,20.5521,1277.234,1223.084,1222.927,30.25, ,5.0143,,54.15
140,20.5561,1208.63,1223.021,1222.863,30.25, ,5.0133,,-14.391
141,20.5601,1211.296,1222.957,1222.799,30.25, ,5.0124,,-11.661
142,20.5641,1179.701,1222.893,1222.735,30.25, ,5.0114,,-43.192
143,20.5681,1227.061,1222.829,1222.67,30.25, ,5.0104,,4.232
